Title,Price,URL
Brokered by Jameson Sotheby's International Realty,"$23,500,000$4.4M",https://www.realtor.com/realestateandhomes-detail/1932-N-Burling-St_Chicago_IL_60614_M70589-93213?from=srp-list-card
Brokered by Team GT PLLC,"$54,900",https://www.realtor.com/realestateandhomes-detail/362-E-134th-St_Chicago_IL_60827_M84934-10518?from=srp-list-card
Brokered by Pearson Realty Group,"$58,000",https://www.realtor.com/realestateandhomes-detail/638-W-62nd-St_Chicago_IL_60621_M79345-59072?from=srp-list-card
"Brokered by FOUR SEASONS REALTY, INC.","$329,900",https://www.realtor.com/realestateandhomes-detail/50-E-26th-St-Apt-408_Chicago_IL_60616_M88385-39673?from=srp-list-card
Brokered by 312 Estates Llc,"$1,549,500",https://www.realtor.com/realestateandhomes-detail/3738-N-Janssen-Ave_Chicago_IL_60613_M88813-46473?from=srp-list-card
Brokered by @properties East Lincoln Park,"$1,099,999",https://www.realtor.com/realestateandhomes-detail/3324-N-Oakley-Ave_Chicago_IL_60618_M86308-57798?from=srp-list-card
Brokered by Berkshire Hathaway HomeServices Chicago,"$619,000",https://www.realtor.com/realestateandhomes-detail/9947-S-Hoyne-Ave_Chicago_IL_60643_M86831-76033?from=srp-list-card
Brokered by Baird & Warner Gold Coast,"$630,000",https://www.realtor.com/realestateandhomes-detail/3237-W-Ardmore-Ave_Chicago_IL_60659_M84744-85900?from=srp-list-card
Brokered by Greater Chicago Real Estate Inc.,"$429,000",https://www.realtor.com/realestateandhomes-detail/3048-W-George-St_Chicago_IL_60618_M70685-82730?from=srp-list-card
Brokered by Chase Real Estate LLC,"$265,000",https://www.realtor.com/realestateandhomes-detail/9103-S-Normal-Ave_Chicago_IL_60620_M75716-01387?from=srp-list-card
Brokered by COMPASS,"$775,000",https://www.realtor.com/realestateandhomes-detail/1443-W-Catalpa-Ave_Chicago_IL_60640_M74638-20241?from=srp-list-card
Brokered by Richland Properties And Homes,"$519,000",https://www.realtor.com/realestateandhomes-detail/608-W-46th-Pl_Chicago_IL_60609_M71293-18512?from=srp-list-card
"Brokered by ROYAL CREST REALTY, INC.","$159,900",https://www.realtor.com/realestateandhomes-detail/5212-S-Ingleside-Ave-Unit-2_Chicago_IL_60615_M75216-33872?from=srp-list-card
Brokered by Cloud Gate Realty LLC,"$179,900",https://www.realtor.com/realestateandhomes-detail/8353-S-May-St_Chicago_IL_60620_M83649-75632?from=srp-list-card
Brokered by Dream Town Realty,"$1,199,999",https://www.realtor.com/realestateandhomes-detail/1755-W-Wabansia-Ave_Chicago_IL_60622_M70714-35392?from=srp-list-card
Brokered by Coldwell Banker Residential Re,"$299,999",https://www.realtor.com/realestateandhomes-detail/7952-S-Colfax-Ave_Chicago_IL_60617_M71659-03518?from=srp-list-card
Brokered by Helen Oliveri Real Estate,"$209,000",https://www.realtor.com/realestateandhomes-detail/9636-S-Union-Ave_Chicago_IL_60628_M73385-04843?from=srp-list-card
Brokered by Double TT Real Estate Inc.,"$289,900",https://www.realtor.com/realestateandhomes-detail/6105-W-59th-St_Chicago_IL_60638_M70867-77253?from=srp-list-card
Brokered by COMPASS,"$115,000",https://www.realtor.com/realestateandhomes-detail/7955-S-Wentworth-Ave_Chicago_IL_60620_M78026-79976?from=srp-list-card
"Brokered by Chicagoland Brokers, Inc. - Chicago","$474,900",https://www.realtor.com/realestateandhomes-detail/5409-N-Neenah-Ave_Chicago_IL_60656_M78650-12783?from=srp-list-card
Brokered by Keller Williams ONEChicago,"$130,000",https://www.realtor.com/realestateandhomes-detail/9944-S-State-St_Chicago_IL_60628_M76175-52220?from=srp-list-card
Brokered by Komar Real Estate,"$615,000",https://www.realtor.com/realestateandhomes-detail/1505-N-Parkside-Ave_Chicago_IL_60651_M88677-39390?from=srp-list-card
Brokered by RE MAX Mi Casa,"$214,000",https://www.realtor.com/realestateandhomes-detail/6020-S-Elizabeth-St_Chicago_IL_60636_M83009-57819?from=srp-list-card
Brokered by Keller Williams Preferred Rlty,"$205,000",https://www.realtor.com/realestateandhomes-detail/7920-S-Avalon-Ave_Chicago_IL_60619_M82872-49027?from=srp-list-card
Brokered by eXp Realty,"$290,000",https://www.realtor.com/realestateandhomes-detail/2057-W-70th-St_Chicago_IL_60636_M87943-12185?from=srp-list-card
Brokered by Compass,"$745,000",https://www.realtor.com/realestateandhomes-detail/2633-W-Maypole-Ave_Chicago_IL_60612_M76384-25000?from=srp-list-card
Brokered by Village Realty Shoppe,"$363,900",https://www.realtor.com/realestateandhomes-detail/2557-W-115th-Pl_Chicago_IL_60655_M75692-39112?from=srp-list-card
Brokered by Park Place Realty Group LLC,"$69,999",https://www.realtor.com/realestateandhomes-detail/12130-S-Lowe-Ave_Chicago_IL_60628_M70985-83556?from=srp-list-card
Brokered by Berkshire Hathaway HomeServices Chicago - Michigan Avenue Office,"$1,450,000",https://www.realtor.com/realestateandhomes-detail/2330-W-Dickens-Ave_Chicago_IL_60647_M83369-87168?from=srp-list-card
Brokered by Cloud Gate Realty LLC,"$219,900",https://www.realtor.com/realestateandhomes-detail/7001-S-Winchester-Ave_Chicago_IL_60636_M83257-90235?from=srp-list-card
"Brokered by BAAN Properties, LLC","$179,900",https://www.realtor.com/realestateandhomes-detail/7854-S-Hamilton-Ave_Chicago_IL_60620_M75500-16886?from=srp-list-card
